Name,Recipe Costing Report,,
Restaurant Name,Cafe Mellow,,
Restaurant Address,"40/1/40A, Odakkadu, Indhira Nagar, 2nd Street, Rayapuram, Tiruppur",,
Calculate from,Current average purchase price,,
,,,
Menu Name,Recipe Costing (₹),Selling Price (₹),Margin (%)
Dutch Truffle Cake [ customized cake ],279.062,0,0
Tripple Chocolate Indulgence Cake [ customized cake ],364.702,0,0
Roasted Almond Cake [ customized cake ],393.753,0,0
Crispy Potato Sticks,29.864,145,79.404
Paneer Tikka Stuffed Garlic Bread,62.737,179,64.951
Cm'S Special Stuffed Garlic Bread,52.78,189,72.074
Peri Peri Wedges,39.125,139,71.853
Potato Wedges,35.521,129,72.465
Coke,28.751,79,63.607
Coke (250 Ml),20.86,20,-4.302
Biscoff Melody,121.899,229,46.769
Cheesy Garlic Bread,40.132,159,74.76
Garlic Bread,25.72,129,80.062
Boost,10.561,45,76.531
Horlicks,9.786,45,78.253
Biscoff Cup Cake,14.692,55,73.287
Berryblast Cup Cake [ large ],8.42,60,85.966
Berryblast Cup Cake [ regular ],5.303,30,82.324
Chocolate Cup Cake [ large ],9.409,60,84.318
Chocolate Cup Cake [ regular ],5.537,30,81.545
Tiramisu Cup Cake [ large ],12.966,60,78.391
Tiramisu Cup Cake [ regular ],7.682,30,74.392
Vannila Cup Cake [ large ],4.642,60,92.263
Vannila Cup Cake [ regular ],3.521,30,88.264
Strawberry Cup Cake [ large ],2.928,60,95.12
Strawberry Cup Cake [ regular ],4.592,30,84.694
Salted Caramel Cup Cake [ large ],11.133,60,81.444
Salted Caramel Cup Cake [ regular ],5.684,30,81.052
Hazelnut Cup Cake [ large ],6.276,60,89.54
Hazelnut Cup Cake [ regular ],4.338,30,85.542
Red Velvet Cup Cake [ large ],3.474,60,94.211
Red Velvet Cup Cake [ regular ],2.822,30,90.594
Red Velvet Chocolate Pastry,39.805,140,71.568
Red Velvet Cream Cheese Pastry,19.777,159,87.562
Pineapple Cup Cake [ large ],6.79,60,88.684
Pineapple Cup Cake [ regular ],4.594,30,84.685
Mawa Cake Slice,15.279,60,74.536
Lotus Biscoff Cake [ customized cake ],417.191,0,0
Lotus Biscoff Cake [ 1kg ],440.229,1600,72.486
Lotus Biscoff Cake [ 500 Gm ],238.591,800,70.176
Gulab Jamun Cake [ customized cake ],462.591,0,0
Gulab Jamun Cake [ 1kg ],485.629,1420,65.801
Gulab Jamun Cake [ 500 Gm ],219.067,710,69.146
Milk Silk Cake [ customized cake ],127.184,0,0
Milk Silk Cake [ 1kg ],150.222,1640,90.84
Milk Silk Cake [ 500 Gm ],72.293,820,91.184
Rasamalai Cake [ customized cake ],485.927,0,0
Rasamalai Cake [ 1kg ],508.965,1440,64.655
Rasamalai Cake [ 500 Gm ],305.241,720,57.605
Redvelvet Chocolate Cake [ customized cake ],332.503,0,0
Redvelvet Chocolate Cake [ 1kg ],355.541,1500,76.297
Redvelvet Chocolate Cake [ 500 Gm ],207.428,750,72.343
Redvelvet Cream Cheese Cake [ customized cake ],170.944,0,0
Redvelvet Cream Cheese Cake [ 1kg ],193.983,1420,86.339
Redvelvet Cream Cheese Cake [ 500 Gm ],95.801,710,86.507
Cm's Special Pizza [ large ],225.278,399,43.539
Cm's Special Pizza [ regular ],114.138,325,64.88
Family Celebration (Large),228.372,399,42.764
Volcano Pizza (Large),156.228,389,59.839
Classic Italian Pizza [ large ],159.745,319,49.923
Classic Italian Pizza [ regular ],81.372,235,65.374
Ultimate Veg Pizza [ large ],172.858,339,49.009
Ultimate Veg Pizza [ regular ],87.35,259,66.274
Hot And Spicy Pizza [ large ],135.069,399,66.148
Hot And Spicy Pizza [ regular ],69.034,319,78.359
Spicy Veggie Pizza [ large ],102.873,310,66.815
Spicy Veggie Pizza [ regular ],52.936,229,76.884
Veggie Fresh [ large ],99.981,310,67.748
Veggie Fresh [ regular ],51.49,229,77.515
Golden Corn Pizza [ large ],108.205,299,63.811
Golden Corn Pizza [ regular ],55.602,219,74.611
Margarita Pizza [ large ],96.626,289,66.565
Margarita Pizza [ regular ],49.812,210,76.28
Paneer Tikka Pizza [ large ],152.802,335,54.387
Paneer Tikka Pizza [ regular ],77.9,249,68.715
Mexican Veg Pizza [ large ],118.527,329,63.974
Mexican Veg Pizza [ regular ],72.733,245,70.313
Makhan Wala Paneer Pizza [ large ],91.23,325,71.929
Makhan Wala Paneer Pizza [ regular ],47.114,239,80.287
Makhan Wala Mushroom Pizza [ large ],91.23,325,71.929
Makhan Wala Mushroom Pizza [ regular ],47.114,239,80.287
Jain Pizza [ large ],129.804,299,56.587
Jain Pizza [ regular ],64.597,219,70.504
